Processo;Código do Cliente;Cliente;Data Bal.;Geração média de caixa;Último Balanço > 1460 dias;ROB para data base;Soma 3 últimos Lucros Líquidos ;Patrimônio Líquido - Última DF;Risco;Dívida Líquida / Ebitda;Dívida / ROB;Dívida;Aplicações de Liquidez Imediata;Nível BACEN;Possui Audit.Externa?;Audit. Big 4
413643;1035231;ENCAIXE EMPRESA DE TRANSPORTES LTDA;43465;2582745,52;Não;63143997,57;3305807,82;4165151,41;D ;0,649310187;0,048629325;2347460;28000;D ;N;NULL
413644;378603;INDEPE - INHAPIM DERIVADOS DE PETROLEO LTDA;43465;2259493,907;Não;45838581,39;5273538,23;6144841,31;A ;1,95326841;0,122607058;2910316,32;0;A ;N;NULL
413651;8422;LAMIL LAGE MINERIOS LTDA;43465;4050333,333;Não;40157000;7118000;16088000;B ;-0,193857965;0,015588814;Não possui balanço cadastrado;1939000;B ;S;N
414390;179353;PARAGUACU TEXTIL LTDA;43465;16890948,93;Não;69594564,16;42428804,77;122411907,2;B ;0,144073109;0,025012677;1026650;0;B ;N;NULL
414975;202059;COOP DOS EMPRESARIOS RURAIS DO TRIANGULO MINE;43465;1136943,327;Não;64520973,16;1356899,98;12259767,71;AA;41,95969832;0,274269727;2768160;4288357,33;AA;S;N
415251;282761;ENSEL ENGENHARIA E SERVICOS ESPECIAIS LTDA;43465;835795,7033;Não;31687640,36;429684,38;3416388,47;D ;3,710112011;0,364227634;2264924,14;0;D ;N;NULL
415901;325585;AP FRIGORIFICO LTDA -ME;43465;497498,7567;Não;38520629,81;1049635,72;740499,36;B ;2,444747261;0,057500647;1152480;277773,07;B ;N;NULL
416197;327303;COMERCIAL SV LTDA;43465;1631777,53;Não;59420055,68;2917378,78;3601353,22;A ;0,630929008;0,025291124;572680;0;A ;N;NULL
416220;1379;INCOMFRAL INDUSTRIA E COMERCIO DE FRALDAS LTD;43465;5105223,077;Não;81261066,08;10034302,4;29388709,66;B ;-0,367031195;0,00023123;0;3690602,58;B ;N;NULL
416228;69749;SP QUEIROZ COMERCIO E INDUSTRIA LTDA;43465;1682839,06;Não;65511631,28;1933130,83;1450901,24;D ;2,440176023;0,253389003;4083712,51;834526,13;D ;N;NULL
